t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z
 1687176601.398952	1687187173.008066	5.429783	-21.272343	-0.920095	0.234605	0.234660	0.211258	0.002783	-0.001048	0.405150	0.217239	0.212708	0.216862	
 1687176601.707817	1687187173.298782	5.427266	-21.280150	-0.917294	0.236130	0.236146	0.211992	0.002739	0.004497	0.402212	0.218681	0.213569	0.217762	
 1687176602.014875	1687187173.597722	5.408221	-21.278479	-0.906314	0.238934	0.238987	0.214000	0.004004	0.003506	0.402701	0.220374	0.216175	0.219964	
 1687176602.328108	1687187173.948842	5.414126	-21.285778	-0.900966	0.237036	0.237398	0.213893	0.006999	-0.003534	0.414539	0.219974	0.214730	0.218878	
 1687176602.633718	1687187174.226232	5.436892	-21.301060	-0.902082	0.237808	0.237755	0.213615	0.008344	-0.004203	0.411148	0.222896	0.215582	0.218879	
 1687176602.938467	1687187174.527851	5.459102	-21.316978	-0.910255	0.229662	0.229649	0.207796	0.006845	-0.000544	0.404473	0.218593	0.210341	0.213358	
 1687176603.245238	1687187174.825336	5.466681	-21.322560	-0.907515	0.238655	0.238685	0.213714	-0.000081	-0.000979	0.401158	0.222715	0.215341	0.219586	
 1687176603.555753	1687187175.140429	5.473126	-21.330374	-0.904442	0.226278	0.226359	0.205973	-0.003608	-0.002470	0.401487	0.211524	0.207149	0.211237	
 1687176603.858668	1687187175.455924	5.477192	-21.337529	-0.903435	0.239211	0.239269	0.214138	-0.002928	-0.002206	0.400431	0.220985	0.215788	0.219893	
 1687176604.163344	1687187175.758976	5.489334	-21.354179	-0.896544	0.234127	0.234146	0.210718	-0.003280	0.003402	0.398512	0.217234	0.212410	0.216563	
 1687176604.469230	1687187176.059797	5.509888	-21.375832	-0.887370	0.234337	0.234353	0.210872	0.000328	0.004260	0.397743	0.217666	0.213173	0.216886	
 1687176604.779092	1687187176.369036	5.545216	-21.400286	-0.878748	0.237571	0.237587	0.213147	-0.000237	0.003297	0.403991	0.218969	0.215701	0.219312	
 1687176605.086419	1687187176.678312	5.592711	-21.426700	-0.868040	0.233984	0.233992	0.211036	-0.020605	0.005265	0.405450	0.216947	0.213264	0.217219	
 1687176605.393625	1687187176.974392	5.647163	-21.455418	-0.884733	0.240213	0.240255	0.214698	-0.012927	0.005548	0.405153	0.254589	0.219557	0.220975	
 1687176605.701997	1687187177.282377	5.701580	-21.486338	-0.891541	0.238116	0.238151	0.213128	-0.015676	0.005624	0.404494	0.233465	0.217368	0.219249	
 1687176606.005823	1687187177.608163	5.759105	-21.525407	-0.880652	0.238074	0.238133	0.213317	-0.015185	0.001989	0.402613	0.239685	0.217813	0.219355	
 1687176606.309349	1687187177.910860	5.825067	-21.565476	-0.861389	0.234204	0.234244	0.210963	-0.008563	0.001592	0.412044	0.235044	0.213363	0.216959	
 1687176606.616841	1687187178.194235	5.895747	-21.617553	-0.833741	0.230717	0.230765	0.208766	-0.045059	0.008575	0.412211	0.219759	0.210722	0.214824	
 1687176606.923525	1687187178.501408	5.978369	-21.660738	-0.822250	0.236346	0.236660	0.212794	-0.024453	0.003139	0.416905	0.327913	0.221778	0.218595	
 1687176607.229241	1687187178.814881	6.022065	-21.668813	-0.827187	0.235618	0.236240	0.213565	-0.022318	0.000265	0.413382	0.239986	0.214708	0.218009	
 1687176607.635024	1687187179.231443	6.076752	-21.679319	-0.836689	0.291068	0.291017	0.242031	-0.026218	0.002377	0.398567	0.273711	0.244068	0.248564	
 1687176607.938063	1687187179.546356	6.121744	-21.695267	-0.842364	0.237898	0.237948	0.213653	-0.040555	-0.005824	0.381452	0.255647	0.216329	0.218917	
 1687176608.245056	1687187179.817081	6.170551	-21.718783	-0.844163	0.236667	0.236783	0.212876	-0.014356	0.004421	0.393460	0.306191	0.214291	0.218517	
 1687176608.551963	1687187180.165485	6.237033	-21.725838	-0.838527	0.233914	0.234084	0.210737	0.005419	-0.004110	0.451463	0.230258	0.213820	0.216404	
 1687176608.855818	1687187180.459877	6.295881	-21.755442	-0.821513	0.236941	0.237126	0.212802	-0.007277	-0.014297	0.409409	0.221515	0.215243	0.218606	
 1687176609.159441	1687187180.744460	6.366226	-21.787744	-0.810187	0.234758	0.234860	0.211403	-0.005585	-0.005496	0.422138	0.219178	0.220275	0.217244	
 1687176609.464103	1687187181.064832	6.437010	-21.826235	-0.807985	0.235733	0.235816	0.211719	-0.008400	0.001477	0.406940	0.219235	0.214269	0.217647	
 1687176609.768485	1687187181.353908	6.502211	-21.863485	-0.797508	0.234390	0.234473	0.210999	-0.005863	-0.000497	0.408833	0.220864	0.212807	0.217051	
 1687176610.077029	1687187181.652722	6.585024	-21.880935	-0.791528	0.239102	0.239152	0.214301	-0.010387	-0.012024	0.433029	0.221901	0.215819	0.220257	
 1687176610.381594	1687187181.961590	6.668588	-21.898816	-0.805608	0.236758	0.236776	0.212794	0.001781	-0.013442	0.416884	0.223713	0.218840	0.218734	
 1687176610.686803	1687187182.280244	6.743416	-21.930259	-0.826972	0.229123	0.229158	0.207576	-0.012115	-0.005847	0.411762	0.213738	0.217050	0.213400	
 1687176610.990729	1687187182.583447	6.800444	-21.970906	-0.838082	0.237090	0.237132	0.212662	-0.014214	0.001242	0.416506	0.225378	0.214730	0.218658	
 1687176611.294810	1687187182.893075	6.870282	-22.009070	-0.838528	0.234864	0.234900	0.211275	-0.007370	-0.002399	0.421282	0.229151	0.213067	0.216975	
 1687176611.600438	1687187183.201783	6.946452	-22.033572	-0.827918	0.235411	0.235461	0.211682	0.001941	-0.010948	0.420484	0.219808	0.213334	0.217678	
 1687176611.903974	1687187183.507934	7.025864	-22.053953	-0.821587	0.235671	0.235712	0.212092	0.007747	-0.012514	0.416637	0.218154	0.217609	0.217959	
 1687176612.208171	1687187183.801468	7.103791	-22.073500	-0.814651	0.234408	0.234425	0.211400	-0.025458	-0.009130	0.424267	0.221057	0.218575	0.217306	
 1687176612.512213	1687187184.094675	7.158546	-22.107108	-0.824093	0.235369	0.235702	0.211954	-0.003622	-0.001623	0.395535	0.237099	0.213797	0.217705	
 1687176612.816937	1687187184.409212	7.228507	-22.134983	-0.829500	0.236636	0.236698	0.212659	-0.013975	-0.005341	0.428204	0.218142	0.213813	0.217942	
 1687176613.127936	1687187184.726619	7.303507	-22.156720	-0.836807	0.235742	0.235875	0.211935	0.001436	-0.013109	0.418884	0.223893	0.213521	0.217440	
 1687176613.432355	1687187185.029635	7.369594	-22.177422	-0.838403	0.237093	0.237339	0.213221	0.002279	-0.015892	0.415194	0.219572	0.217493	0.218733	
 1687176613.742853	1687187185.326609	7.417761	-22.202519	-0.840974	0.232157	0.232209	0.209923	-0.002947	-0.007536	0.403125	0.216144	0.216363	0.215068	
 1687176614.047718	1687187185.618776	7.472107	-22.244773	-0.845142	0.236588	0.236893	0.212843	-0.010249	0.004401	0.393283	0.218492	0.214864	0.217995	
