t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687526339.063009	1687526338.992938	15.208880	-23.350259	-0.925279	0.300612	0.300640	0.246344	-0.009079	0.000835	2.755873	0.295383	0.262903	0.254164	-0.004375	-0.001280	0.981450	-0.191666	
 1687526339.469279	1687526339.396973	15.169341	-23.350575	-0.925442	0.302978	0.303037	0.247599	-0.035971	-0.007048	2.661538	0.264515	0.249532	0.255539	-0.018306	-0.000853	0.971183	-0.237628	
 1687526339.875784	1687526339.800211	15.129896	-23.366806	-0.935035	0.294302	0.294303	0.243881	-0.012768	-0.006215	2.669555	0.339123	0.253536	0.251551	-0.006934	0.001528	0.972257	-0.233808	
 1687526340.285721	1687526340.204408	15.097085	-23.392519	-0.932336	0.300129	0.300244	0.246213	-0.036960	0.002400	2.608615	0.271161	0.251159	0.253957	-0.017511	-0.006024	0.964530	-0.263322	
 1687526340.691118	1687526340.607153	15.037741	-23.394553	-0.924163	0.300660	0.300633	0.246679	-0.035211	0.003240	2.575168	0.341189	0.249892	0.254518	-0.016451	-0.006475	0.960005	-0.279425	
 1687526341.096503	1687526341.010975	14.990959	-23.408852	-0.925958	0.293331	0.293293	0.243442	-0.017439	-0.009538	2.590678	0.329964	0.246215	0.251109	-0.009688	0.002218	0.962265	-0.271934	
 1687526341.400132	1687526341.313529	14.970811	-23.452026	-0.934748	0.241774	0.241800	0.215687	-0.010486	0.002768	2.628746	0.247443	0.224321	0.222201	-0.004720	-0.002668	0.967287	-0.253626	
 1687526341.808373	1687526341.717356	14.907409	-23.467149	-0.946172	0.295188	0.295223	0.243633	-0.011339	-0.000368	2.552254	0.260555	0.245588	0.251282	-0.005478	-0.001471	0.956883	-0.290418	
 1687526342.212759	1687526342.120735	14.855760	-23.510481	-0.950190	0.298146	0.298125	0.245063	-0.015688	-0.008295	2.588720	0.264296	0.247191	0.252752	-0.008678	0.001849	0.962005	-0.272887	
 1687526342.618372	1687526342.523277	14.783136	-23.543701	-0.946699	0.297821	0.297863	0.245374	-0.015666	-0.034350	2.516912	0.271502	0.252041	0.252937	-0.012730	0.013936	0.951489	-0.307104	
 1687526343.022752	1687526342.932167	14.733963	-23.623387	-0.939943	0.291739	0.291646	0.242486	-0.026749	-0.006972	2.615937	0.276323	0.296778	0.249833	-0.013821	-0.000109	0.965579	-0.259742	
 1687526343.426278	1687526343.335193	14.654732	-23.648181	-0.924381	0.291607	0.291489	0.243250	-0.038137	-0.024910	2.512046	0.290127	0.249673	0.250470	-0.021985	0.005938	0.950694	-0.309295	
 1687526343.830228	1687526343.738855	14.575333	-23.692827	-0.946335	0.298037	0.297920	0.245876	-0.013590	-0.010986	2.607159	0.337460	0.285332	0.253104	-0.008004	0.003504	0.964483	-0.264002	
 1687526344.237183	1687526344.142306	14.479297	-23.745759	-0.961862	0.298293	0.298259	0.245027	-0.011389	-0.012808	2.569749	0.266766	0.253438	0.252182	-0.007269	0.004538	0.959377	-0.281996	
 1687526344.641958	1687526344.545994	14.400899	-23.787429	-0.948827	0.298398	0.298467	0.246623	-0.028331	-0.005598	2.607976	0.262889	0.254423	0.253189	-0.014402	-0.001035	0.964527	-0.263588	
 1687526345.045350	1687526344.950945	14.325555	-23.829026	-0.954187	0.289064	0.289142	0.242270	-0.014205	-0.008926	2.584008	0.287675	0.247142	0.248912	-0.008056	0.002336	0.961363	-0.275155	
 1687526345.460722	1687526345.454753	14.250975	-23.879444	-0.960931	0.303566	0.303688	0.248142	-0.011885	-0.012129	2.606854	0.266681	0.253311	0.254805	-0.007333	0.004279	0.964444	-0.264151	
 1687526345.864012	1687526345.858378	14.167392	-23.923802	-0.956313	0.300744	0.300835	0.246604	-0.011883	-0.010417	2.594268	0.263449	0.254673	0.253813	-0.007128	0.003409	0.962766	-0.270221	
 1687526346.267472	1687526346.261269	14.103216	-23.961173	-0.949685	0.291605	0.291681	0.243171	-0.009313	-0.014985	2.599039	0.259164	0.249415	0.250078	-0.006494	0.005971	0.963401	-0.267918	
 1687526346.671595	1687526346.663703	14.034183	-23.998521	-0.948282	0.293007	0.293194	0.243821	-0.016224	-0.026091	2.552374	0.257027	0.252671	0.250483	-0.011550	0.010127	0.956833	-0.290231	
 1687526347.079373	1687526347.069104	13.963643	-24.038292	-0.949829	0.290246	0.290355	0.242006	-0.046353	-0.014357	2.488964	0.266473	0.268796	0.248972	-0.024251	-0.000630	0.947005	-0.320302	
 1687526347.487789	1687526347.477651	13.910692	-24.083276	-0.949854	0.299637	0.299676	0.245725	-0.026077	-0.006272	2.477055	0.354782	0.265920	0.253161	-0.013348	-0.001289	0.945233	-0.326120	
 1687526347.890881	1687526347.880679	13.842592	-24.114091	-0.946375	0.301070	0.301242	0.247001	-0.026641	-0.003629	2.461645	0.287318	0.253098	0.254389	-0.013163	-0.002731	0.942686	-0.333409	
 1687526348.295996	1687526348.283720	13.790350	-24.146951	-0.947514	0.296007	0.296099	0.244679	-0.031051	-0.004718	2.473870	0.289182	0.249424	0.252080	-0.015440	-0.002859	0.944680	-0.327619	
 1687526348.699552	1687526348.687045	13.734288	-24.184232	-0.942368	0.298699	0.298803	0.245731	-0.036017	-0.012636	2.437666	0.302371	0.251697	0.253251	-0.019081	-0.000278	0.938566	-0.344572	
 1687526349.108011	1687526349.091060	13.680389	-24.214334	-0.935802	0.296206	0.296295	0.244956	-0.036307	-0.002840	2.386447	0.324237	0.262304	0.252559	-0.017397	-0.005372	0.929418	-0.368580	
 1687526349.512335	1687526349.494809	13.653665	-24.254709	-0.940140	0.300059	0.300180	0.246203	-0.034151	-0.005567	2.385595	0.327556	0.251954	0.253961	-0.016897	-0.003715	0.929284	-0.368962	
 1687526349.915294	1687526349.899424	13.600432	-24.272060	-0.928790	0.297346	0.297555	0.245680	-0.073907	-0.006241	2.260184	0.318677	0.253535	0.253327	-0.034745	-0.012939	0.903879	-0.426179	
 1687526350.319518	1687526350.301205	13.544078	-24.292786	-0.936199	0.300452	0.300518	0.246037	-0.017619	-0.002037	2.267544	0.515914	0.261399	0.253732	-0.008412	-0.002806	0.905983	-0.423220	
