t	t_ros	pos_x	pos_y	pos_z	var_pos_x	var_pos_y	var_pos_z	ori_x	ori_y	ori_z	var_ori_x	var_ori_y	var_ori_z	qx	qy	qz	qw
 1687525516.171458	1687525516.119505	24.423599	-16.983712	-0.775506	0.296962	0.329015	0.278175	-0.047598	-0.011504	0.984193	0.519438	0.274793	0.249795	0.016311	0.018256	-0.472454	0.881015
 1687525516.477854	1687525516.421003	24.516469	-17.144565	-0.778146	0.239505	0.239522	0.216767	-0.058232	-0.004753	1.038959	0.527624	0.225005	0.217538	0.016514	0.024092	-0.496277	0.867673
 1687525516.881348	1687525516.825254	24.517080	-17.264808	-0.788001	0.295011	0.295758	0.243804	-0.060320	0.010447	0.959985	0.798806	0.245169	0.249005	0.009294	0.029158	-0.461417	0.886656
 1687525517.286124	1687525517.229541	24.533541	-17.370129	-0.788822	0.296689	0.296938	0.244930	-0.057964	0.006651	1.024588	1.017276	0.321471	0.251038	0.011307	0.026887	-0.489885	0.871299
 1687525517.591063	1687525517.535011	24.543885	-17.436628	-0.786913	0.234398	0.234886	0.211607	-0.038489	0.013302	0.998459	0.770310	0.238048	0.216020	0.003374	0.020078	-0.478538	0.877831
 1687525517.900892	1687525517.838469	24.578782	-17.532273	-0.783784	0.237518	0.237902	0.213937	-0.037413	0.009748	0.992943	0.552163	0.287767	0.217895	0.004625	0.018768	-0.476157	0.879148
 1687525518.305311	1687525518.244903	24.640766	-17.643277	-0.788564	0.288609	0.289411	0.241401	-0.053964	0.006805	0.983695	0.535150	0.279495	0.246838	0.009743	0.025387	-0.472000	0.881179
 1687525518.708323	1687525518.648772	24.726281	-17.815790	-0.807910	0.296970	0.297457	0.244568	-0.039716	0.008363	0.958408	0.820801	0.268939	0.250824	0.005446	0.019548	-0.460904	0.887218
 1687525519.115260	1687525519.051701	24.793888	-17.993261	-0.793741	0.291840	0.292301	0.242646	-0.064365	0.005680	0.953505	0.459409	0.260387	0.249125	0.012244	0.029891	-0.458576	0.888068
 1687525519.422374	1687525519.354257	24.849873	-18.124296	-0.775215	0.238881	0.238995	0.214354	-0.042373	0.004422	0.965549	0.702519	0.224995	0.219963	0.007877	0.019790	-0.464092	0.885531
 1687525519.826074	1687525519.762773	24.924634	-18.255114	-0.778267	0.294991	0.295395	0.244419	-0.049867	-0.012661	0.958793	0.489468	0.250986	0.251008	0.017114	0.019201	-0.461231	0.886907
 1687525520.229542	1687525520.193738	25.001189	-18.344070	-0.799175	0.295992	0.296444	0.244640	-0.054971	0.004649	1.023154	0.602888	0.268198	0.251368	0.011428	0.025101	-0.489311	0.871673
 1687525520.534789	1687525520.495769	25.037781	-18.455052	-0.806951	0.233863	0.234127	0.210615	-0.033719	-0.000573	1.016343	0.571521	0.216308	0.216469	0.008453	0.014589	-0.486516	0.873509
 1687525520.941297	1687525520.898626	25.105948	-18.627521	-0.814988	0.293723	0.293987	0.243536	-0.021483	-0.024421	1.040579	0.401824	0.244913	0.250039	0.015933	0.003250	-0.497179	0.867495
 1687525521.248117	1687525521.205848	25.191256	-18.747845	-0.811519	0.240668	0.240930	0.215999	-0.021858	-0.014352	1.025901	0.281393	0.309814	0.220865	0.011615	0.006001	-0.490777	0.871187
 1687525521.652240	1687525521.637407	25.259982	-18.915159	-0.813994	0.295369	0.295682	0.244350	-0.043135	-0.033411	0.967025	0.318481	0.279858	0.250623	0.024811	0.011327	-0.465038	0.884870
 1687525522.057664	1687525522.041917	25.308506	-19.027725	-0.815815	0.295773	0.295865	0.244346	-0.048025	-0.030377	1.012631	0.501964	0.410805	0.251518	0.024921	0.013632	-0.485081	0.874008
 1687525522.461948	1687525522.445476	25.353132	-19.119310	-0.807535	0.295503	0.295500	0.244689	-0.038992	-0.058373	0.967191	0.591964	0.394585	0.251946	0.034892	0.003686	-0.465183	0.884519
 1687525522.767240	1687525522.748311	25.419818	-19.172415	-0.830539	0.240206	0.240146	0.214822	-0.013740	-0.051864	1.026797	0.406441	0.667415	0.220986	0.025959	-0.006752	-0.491119	0.870679
 1687525523.172468	1687525523.153066	25.461653	-19.223644	-0.838763	0.294599	0.294945	0.244154	-0.050635	-0.048053	0.971802	0.275425	0.679075	0.251136	0.033056	0.011162	-0.467259	0.883432
 1687525523.479519	1687525523.456124	25.504156	-19.283808	-0.865599	0.239479	0.239647	0.214555	-0.016028	-0.040456	1.024353	0.533435	0.515696	0.220224	0.021557	-0.002928	-0.490101	0.871394
 1687525523.885805	1687525523.859496	25.561106	-19.386168	-0.868921	0.296730	0.296967	0.244570	-0.049475	-0.047053	1.003473	0.286445	0.502972	0.251511	0.032511	0.010370	-0.481179	0.875958
 1687525524.194145	1687525524.162220	25.645883	-19.502506	-0.874902	0.239030	0.239084	0.214043	-0.016485	-0.054592	1.029384	0.504840	0.485929	0.220119	0.027812	-0.006263	-0.492262	0.869980
 1687525524.504524	1687525524.466449	25.736757	-19.617504	-0.873718	0.238793	0.238964	0.213927	-0.020730	-0.057587	1.022429	0.251049	0.584974	0.219890	0.030176	-0.005048	-0.489268	0.871597
 1687525524.811095	1687525524.768725	25.819617	-19.748175	-0.869758	0.241896	0.242011	0.215994	-0.032253	-0.056672	1.035265	0.268473	0.587935	0.222036	0.032594	-0.000010	-0.494958	0.868305
 1687525525.215760	1687525525.171617	25.871671	-19.822830	-0.878830	0.292766	0.292674	0.242539	-0.047913	-0.050957	1.062340	0.382547	0.657328	0.249684	0.034089	0.007746	-0.506759	0.861379
 1687525525.620520	1687525525.580729	25.914500	-19.904984	-0.869307	0.295400	0.295217	0.243932	-0.042214	-0.045372	1.028528	0.513408	0.545528	0.251119	0.030125	0.007215	-0.492075	0.870002
 1687525526.025430	1687525525.981797	25.959880	-19.957149	-0.852742	0.291918	0.291702	0.244026	-0.049507	-0.059925	1.019370	0.469240	0.500895	0.251236	0.038213	0.006983	-0.488181	0.871877
 1687525526.430211	1687525526.383972	26.014334	-20.006079	-0.878594	0.295674	0.295673	0.245072	-0.038105	-0.040985	1.011821	0.511306	0.622615	0.252523	0.027151	0.006733	-0.484756	0.874202
 1687525526.839905	1687525526.787167	26.055066	-20.068772	-0.883010	0.297930	0.297937	0.245331	-0.043195	-0.039345	1.003979	0.424620	0.448666	0.252559	0.027629	0.009465	-0.481338	0.876048
 1687525527.146324	1687525527.089583	26.098807	-20.123766	-0.867632	0.245425	0.245402	0.217770	-0.036486	-0.041951	1.017571	0.423253	0.387737	0.224157	0.027198	0.005713	-0.487263	0.872813
 1687525527.450359	1687525527.393243	26.151425	-20.170819	-0.851428	0.240543	0.240604	0.214958	-0.031573	-0.041774	1.022942	0.352930	0.389806	0.221247	0.025935	0.003541	-0.489580	0.871565
 1687525527.858474	1687525527.796687	26.227294	-20.210506	-0.853221	0.290314	0.290465	0.242324	-0.051510	-0.049927	1.034302	0.349882	0.416916	0.249400	0.034418	0.010041	-0.494646	0.868355
 1687525528.266251	1687525528.199106	26.288742	-20.270767	-0.896752	0.291874	0.291940	0.242803	-0.030687	-0.045397	1.006421	0.512467	0.487009	0.250022	0.027278	0.002494	-0.482364	0.875542
 1687525528.574031	1687525528.500650	26.326728	-20.338409	-0.924024	0.242773	0.242863	0.216242	-0.026272	-0.038979	1.005532	0.311322	0.405049	0.222293	0.023403	0.002118	-0.481942	0.875888
 1687525528.979676	1687525528.904259	26.355979	-20.402839	-0.917654	0.295503	0.295456	0.243851	-0.051276	-0.039040	1.018117	0.330018	0.414760	0.251158	0.029529	0.012871	-0.487539	0.872507
 1687525529.385012	1687525529.308727	26.401043	-20.416769	-0.905793	0.296926	0.297087	0.245244	-0.034078	-0.047532	1.011090	0.491708	0.387589	0.252584	0.029037	0.003396	-0.484432	0.874341
 1687525529.788785	1687525529.712779	26.472066	-20.434285	-0.905007	0.289218	0.289535	0.242703	-0.034415	-0.037573	1.016885	0.366463	0.459377	0.249520	0.024782	0.005884	-0.486942	0.873063
 1687525530.193120	1687525530.115102	26.521036	-20.464240	-0.924708	0.297265	0.297489	0.245871	-0.034004	-0.018853	0.969194	0.366541	0.379922	0.252456	0.016259	0.010652	-0.465906	0.884621
 1687525530.501168	1687525530.417198	26.580198	-20.553679	-0.940776	0.239927	0.239819	0.215044	-0.036616	-0.018038	0.981201	0.322544	0.250588	0.220209	0.016579	0.011899	-0.471203	0.881789
 1687525530.906069	1687525530.820203	26.637391	-20.639422	-0.944189	0.297354	0.297170	0.245031	-0.044567	-0.023934	0.988631	0.378055	0.281093	0.251739	0.021102	0.013937	-0.474512	0.879885
 1687525531.209183	1687525531.170948	26.697144	-20.717606	-0.951382	0.238118	0.238151	0.213430	-0.034757	-0.030342	0.990084	0.385781	0.267139	0.219419	0.021602	0.008084	-0.475174	0.879589
 1687525531.617011	1687525531.574668	26.751997	-20.817008	-0.950001	0.294549	0.294906	0.243869	-0.044369	-0.018367	0.980807	0.345056	0.318537	0.250929	0.018546	0.015243	-0.471026	0.881793
 1687525532.025137	1687525531.978599	26.804376	-20.945612	-0.949963	0.291818	0.291931	0.242868	-0.050284	-0.015976	0.984677	0.411693	0.277142	0.250187	0.018920	0.018378	-0.472701	0.880828
 1687525532.429872	1687525532.382935	26.887001	-21.093682	-0.950716	0.294131	0.294176	0.243764	-0.039206	-0.018587	0.995119	0.454457	0.271344	0.251361	0.017520	0.012789	-0.477330	0.878456
 1687525532.833223	1687525532.787518	26.976769	-21.201809	-0.958475	0.295735	0.295739	0.245209	-0.053594	-0.035050	0.979312	0.387318	0.281320	0.252856	0.028059	0.015403	-0.470496	0.881822
 1687525533.239023	1687525533.192246	27.029271	-21.280722	-0.990397	0.297075	0.297114	0.245404	-0.053694	-0.025869	0.989747	0.506874	0.360549	0.253083	0.024126	0.017481	-0.475015	0.879473
 1687525533.643258	1687525533.594696	27.047817	-21.382596	-1.003148	0.301417	0.301499	0.246426	-0.046069	0.014376	0.984280	0.501260	0.311903	0.254031	0.004550	0.023694	-0.472229	0.881145
 1687525534.051429	1687525533.996590	27.098966	-21.467601	-0.973872	0.299396	0.299390	0.245830	-0.046445	-0.041685	0.999000	0.441999	0.260260	0.253284	0.029410	0.010399	-0.479178	0.877163
 1687525534.454688	1687525534.399524	27.194832	-21.535445	-0.978686	0.295745	0.295787	0.245540	-0.042908	-0.039120	0.976204	0.456306	0.407558	0.253186	0.027329	0.009773	-0.469123	0.882656
 1687525534.857135	1687525534.802341	27.258594	-21.612191	-1.005542	0.266345	0.266499	0.230577	-0.052892	-0.032100	0.963891	0.395977	0.362233	0.237323	0.026471	0.015992	-0.463658	0.885474
 1687525537.568230	1687525537.529594	27.378160	-21.743623	-1.000861	0.253445	0.252875	0.223880	0.100386	-0.143018	1.051603	0.404167	0.293158	0.229467	0.036602	-0.079099	-0.496893	0.863424
 1687525537.873705	1687525537.832447	27.414540	-21.808949	-1.003649	0.238858	0.239414	0.217889	0.032906	-0.128714	0.962176	0.511939	0.766114	0.220499	0.049408	-0.044311	-0.460786	0.885027
 1687525538.277058	1687525538.235895	27.441339	-21.916747	-0.989444	0.295905	0.295852	0.244499	-0.027722	-0.055593	0.970365	0.276705	0.861100	0.249712	0.031045	-0.000704	-0.466486	0.883984
 1687525538.683835	1687525538.642380	27.473159	-22.044072	-0.942944	0.296275	0.296205	0.245757	-0.066193	-0.061971	0.923723	0.289891	0.386999	0.251319	0.042458	0.015811	-0.446075	0.893848
 1687525538.988194	1687525538.944968	27.522595	-22.131437	-0.910674	0.239597	0.239813	0.215816	-0.054347	-0.071973	0.928195	0.405449	0.375190	0.221277	0.044315	0.008182	-0.448035	0.892879
 1687525539.291812	1687525539.247180	27.621865	-22.200300	-0.920265	0.234556	0.234350	0.211216	-0.032897	-0.049954	1.013392	0.340909	0.412422	0.216266	0.029813	0.002258	-0.485433	0.873762
 1687525539.697600	1687525539.650187	27.696078	-22.318351	-0.910466	0.294339	0.293199	0.243565	-0.059269	-0.051472	0.992257	0.312016	0.374675	0.249539	0.036721	0.013805	-0.476328	0.878392
 1687525540.001325	1687525539.952628	27.736895	-22.415804	-0.903949	0.237886	0.237008	0.213904	-0.035115	-0.032865	1.068990	0.374094	0.327793	0.219104	0.023080	0.006737	-0.509508	0.860130
 1687525540.404897	1687525540.357111	27.807064	-22.511589	-0.906357	0.287165	0.286283	0.241789	-0.045132	-0.026439	1.083432	0.315329	0.299185	0.247549	0.022957	0.012517	-0.515686	0.856378
 1687525540.711302	1687525540.659943	27.836629	-22.607952	-0.925176	0.238618	0.238337	0.214071	-0.016788	-0.046141	1.014103	0.325210	0.252304	0.219998	0.024240	-0.003866	-0.485625	0.873823
 1687525541.018562	1687525540.963756	27.888006	-22.703908	-0.948697	0.239893	0.239878	0.214245	-0.007295	-0.041986	1.007761	0.235581	0.316253	0.220187	0.020143	-0.006941	-0.482785	0.875480
 1687525541.422405	1687525541.367771	27.951063	-22.822373	-0.936270	0.294221	0.294277	0.243261	-0.033532	-0.038069	0.975788	0.251083	0.332694	0.250407	0.024668	0.005885	-0.468898	0.882888
 1687525541.730992	1687525541.678160	28.003981	-22.899954	-0.917540	0.236941	0.236869	0.213615	-0.040517	-0.066842	0.982345	0.279833	0.287917	0.219709	0.039008	0.002095	-0.471897	0.880788
 1687525542.034193	1687525541.980567	28.066841	-22.964344	-0.927485	0.237179	0.237111	0.213181	-0.045165	-0.052683	0.992905	0.305191	0.408259	0.219347	0.033905	0.007306	-0.476546	0.878465
 1687525542.338359	1687525542.281780	28.110230	-23.083776	-0.949372	0.238313	0.238312	0.213364	-0.036558	-0.014528	1.018312	0.320663	0.338218	0.219408	0.015251	0.012419	-0.487462	0.872923
 1687525542.641452	1687525542.584185	28.141426	-23.184403	-0.951667	0.236155	0.235889	0.212486	-0.035441	-0.035671	0.983170	0.288940	0.226845	0.217588	0.024083	0.007202	-0.472153	0.881158
 1687525542.945700	1687525542.886055	28.205839	-23.266137	-0.952296	0.234375	0.234276	0.210931	-0.024676	-0.050229	0.962610	0.287172	0.279829	0.216312	0.027967	-0.000692	-0.463030	0.885901
 1687525543.350183	1687525543.287786	28.281048	-23.367355	-0.950167	0.290817	0.290846	0.241714	-0.056031	-0.044359	0.970140	0.289400	0.381627	0.248893	0.032669	0.014437	-0.466522	0.883788
 1687525543.753992	1687525543.690234	28.338156	-23.447422	-0.958953	0.293918	0.293712	0.243757	-0.032769	-0.031684	1.024421	0.444829	0.365529	0.251267	0.021835	0.006517	-0.490204	0.871310
 1687525544.057110	1687525544.022524	28.402329	-23.540850	-0.967559	0.238555	0.238408	0.214184	-0.032731	-0.041110	1.030347	0.283604	0.271340	0.220461	0.025944	0.004112	-0.492808	0.869741
 1687525544.460403	1687525544.426541	28.464042	-23.606364	-0.999603	0.293213	0.293247	0.243492	-0.025077	-0.039882	1.052345	0.327661	0.351318	0.251048	0.023537	0.000827	-0.502304	0.864370
 1687525544.765240	1687525544.729267	28.526043	-23.686630	-1.032627	0.238401	0.238532	0.213662	-0.016804	-0.040829	1.040347	0.260649	0.301315	0.220057	0.021888	-0.002857	-0.497058	0.867436
 1687525545.068877	1687525545.031771	28.588790	-23.820776	-1.038472	0.237082	0.237245	0.212753	-0.019248	-0.040849	1.033526	0.237012	0.300910	0.218920	0.022509	-0.001724	-0.494113	0.869104
 1687525545.374081	1687525545.335362	28.637077	-23.920672	-1.037821	0.236053	0.236141	0.212450	-0.019719	-0.043048	1.036813	0.243044	0.303834	0.218115	0.023578	-0.002102	-0.495542	0.868261
